
Quadro extraído em 07 de Março de 2023 (15:30:08)
http://www.ine.pt



Período de referência dos dados;Local de residência (à data dos Censos 2021);Agregados domésticos privados (N.º) nos alojamentos familiares clássicos de residência habitual por Local de residência (à data dos Censos 2021), Regime de ocupação e Dimensão (Agregado Doméstico Privado) -  Decenal;;;
;;Regime de ocupação;;;
;;Total;Propriedade ou copropriedade;Arrendamento ou subarrendamento;
;;Dimensão (Agregado Doméstico Privado);;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;151209: União das freguesias de Azeitão (São Lourenço e São Simão);7911;6378;939;
;151210: União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça);16988;10728;5064;
;111102: Algueirão-Mem Martins;26946;18799;6567;
;111115: Casal de Cambra;5045;2670;1924;
;111105: Colares;3193;1800;1005;
;111108: Rio de Mouro;19266;13958;4144;
;111122: União das freguesias de Agualva e Mira-Sintra;16860;11900;3924;
;111123: União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;6857;3786;2349;
;111125: União das freguesias de Massamá e Monte Abraão;19616;14648;3735;
;111126: União das freguesias de Queluz e Belas;20861;13939;5648;
;111127: União das freguesias de São João das Lampas e Terrugem;7139;4000;2200;
;111128: União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);11470;7834;2708;
;111124: União das freguesias do Cacém e São Marcos;15894;10968;4017;
;111412: União das freguesias de Alhandra, São João dos Montes e Calhandriz;5138;3447;1352;
;111413: União das freguesias de Alverca do Ribatejo e Sobralinho;15054;10920;3337;
;111414: União das freguesias de Castanheira do Ribatejo e Cachoeiras;3238;2231;807;
;111415: União das freguesias de Póvoa de Santa Iria e Forte da Casa;16182;12289;3150;
;111408: Vialonga;8182;5904;1808;
;111409: Vila Franca de Xira;7847;4828;2542;

Agregados domésticos privados (N.º) nos alojamentos familiares clássicos de residência habitual por Local de residência (à data dos Censos 2021), Regime de ocupação e Dimensão (Agregado Doméstico Privado) -  Decenal - INE, Recenseamento da população e habitação - Censos 2021


Última atualização destes dados: 23 de novembro de 2022


Metainformação associada ao quadro

Agregados domésticos privados (N.º) nos alojamentos familiares clássicos de residência habitual
Designação;Agregados domésticos privados (N.º) nos alojamentos familiares clássicos de residência habitual por Local de residência (à data dos Censos 2021), Regime de ocupação e Dimensão (Agregado Doméstico Privado) -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento da população e habitação - Censos 2021
Primeiro período disponível;2021
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (à data dos Censos 2021)
     Dimensão 3;Regime de ocupação
     Dimensão 4;Dimensão (agregado doméstico privado)
Conceitos
     ALOJAMENTO FAMILIAR;Alojamento que, normalmente, se destina a alojar apenas uma família e não é totalmente utilizado para outros fins no momento de referência.
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ALOJAMENTO FAMILIAR DE RESIDÊNCIA HABITUAL;Alojamento familiar ocupado que constitui a residência habitual ou principal de pelo menos um agregado doméstico privado.
     CONDIÇÃO DE OCUPAÇÃO DO ALOJAMENTO FAMILIAR;Condição mediante a qual a família dispõe ou usufrui de um alojamento na totalidade ou em parte, de acordo com as seguintes modalidades: proprietário ou coproprietário; arrendatário ou subarrendatário; outra situação.
     AGREGADO DOMÉSTICO PRIVADO;Conjunto de pessoas que tem a residência habitual no alojamento familiar ou a pessoa independente que ocupa um alojamento familiar.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;23-Nov-2022
